PN,Date,StockLevel
1101-0004-4702,2021-03-01,5693.0
1101-0004-4703,2021-03-01,3393.0
1101-0004-4751,2021-03-01,7007.0
1101-0004-7502,2021-03-01,3111.0
1101-0005-1000,2021-03-01,26813.0
1101-0005-1002,2021-03-01,18136.0
1101-0005-1004,2021-03-01,2383.0
1101-0005-1008,2021-03-01,248.0
1101-0005-1009,2021-03-01,103124.0
1101-0005-1019,2021-03-01,29600.0
1101-0005-2200,2021-03-01,132883.0
1101-0005-3309,2021-03-01,11361.0
1101-0005-3319,2021-03-01,2134.0
1101-0005-3903,2021-03-01,2374.0
1101-0005-4709,2021-03-01,31.0
1101-0005-8202,2021-03-01,2903.0
1101-0008-5363,2021-03-01,948.0
1101-0009-1015,2021-03-01,10025.0
1101-0009-3160,2021-03-01,7234.0
1101-0009-4000,2021-03-01,100.0
1101-0012-1008,2021-03-01,14117.0
1101-0012-2200,2021-03-01,9565.0
1101-0012-3300,2021-03-01,60169.0
1101-0012-3309,2021-03-01,84053.0
1102-0001-1000,2021-03-01,62291.0
1102-0001-1001,2021-03-01,30548.0
1102-0001-1002,2021-03-01,99103.0
1102-0001-1003,2021-03-01,81613.0
1102-0001-1004,2021-03-01,35103.0
1102-0001-1008,2021-03-01,29866.0
1102-0001-1009,2021-03-01,142333.0
1102-0001-1013,2021-03-01,40000.0
1102-0001-1022,2021-03-01,200.0
1102-0001-1200,2021-03-01,17611.0
1102-0001-1202,2021-03-01,2458020.0
1102-0001-1203,2021-03-01,11733.0
1102-0001-1303,2021-03-01,5215.0
1102-0001-1500,2021-03-01,51199.0
1102-0001-1501,2021-03-01,9945.0
1102-0001-1508,2021-03-01,2781.0
1102-0001-1509,2021-03-01,784.0
1102-0001-1511,2021-03-01,62498.0
1102-0001-1803,2021-03-01,7621.0
1102-0001-1809,2021-03-01,4525.0
1102-0001-2001,2021-03-01,8730.0
1102-0001-2009,2021-03-01,6848.0
1102-0001-2019,2021-03-01,48.0
1102-0001-2200,2021-03-01,77585.0
1102-0001-2201,2021-03-01,11220.0
1102-0001-2202,2021-03-01,7079.0
1102-0001-2203,2021-03-01,12783.0
1102-0001-2208,2021-03-01,623.0
1102-0001-2209,2021-03-01,17707.0
1102-0001-2404,2021-03-01,19022.0
1102-0001-2414,2021-03-01,5000.0
1102-0001-2700,2021-03-01,595.0
1102-0001-2701,2021-03-01,5.0
1102-0001-2703,2021-03-01,5134.0
1102-0001-3009,2021-03-01,6660.0
1102-0001-3301,2021-03-01,8008.0
1102-0001-3302,2021-03-01,8730.0
1102-0001-3303,2021-03-01,81012.0
1102-0001-3309,2021-03-01,200.0
1102-0001-3603,2021-03-01,8879.0
1102-0001-3902,2021-03-01,6673.0
1102-0001-3910,2021-03-01,606.0
1102-0001-3919,2021-03-01,4900.0
1102-0001-4700,2021-03-01,11479.0
1102-0001-4701,2021-03-01,17419.0
1102-0001-4702,2021-03-01,9672.0
1102-0001-4703,2021-03-01,9468.0
1102-0001-4709,2021-03-01,15812.0
1102-0001-4999,2021-03-01,17781.0
1102-0001-5600,2021-03-01,19674.0
1102-0001-5601,2021-03-01,373.0
1102-0001-5602,2021-03-01,2785.0
1102-0001-6801,2021-03-01,9941.0
1102-0001-6802,2021-03-01,373.0
1102-0001-6803,2021-03-01,14542.0
1102-0001-6809,2021-03-01,9598.0
1102-0001-7152,2021-03-01,4800.0
1102-0003-0000,2021-03-01,168398.0
1102-0003-2207,2021-03-01,9774.0
1102-0012-1508,2021-03-01,300.0
1102-0012-2700,2021-03-01,11665.0
1102-0012-3900,2021-03-01,538.0
1102-0012-4700,2021-03-01,18927.0
1102-0012-4702,2021-03-01,1969.0
1102-0012-6200,2021-03-01,1511.0
1102-0013-1004,2021-03-01,581.0
1102-0014-1009,2021-03-01,10000.0
1102-0014-4708,2021-03-01,36.0
1102-0015-5006,2021-03-01,150.0
1103-0001-1000,2021-03-01,28992.0
1103-0001-1001,2021-03-01,43446.0
1103-0001-1002,2021-03-01,64409.0
1103-0001-1003,2021-03-01,100.0
1103-0001-1004,2021-03-01,81372.0
1103-0001-1008,2021-03-01,12700.0
1103-0001-1009,2021-03-01,21062.0
1103-0001-1100,2021-03-01,6739.0
1103-0001-1200,2021-03-01,53467.0
1103-0001-1201,2021-03-01,46372.0
1103-0001-1202,2021-03-01,21231.0
1103-0001-1203,2021-03-01,26626.0
1103-0001-1209,2021-03-01,4524.0
1103-0001-1372,2021-03-01,4276.0
1103-0001-1500,2021-03-01,16468.0
1103-0001-1502,2021-03-01,14693.0
1103-0001-1503,2021-03-01,7849.0
1103-0001-1507,2021-03-01,7499.0
1103-0001-1508,2021-03-01,1074.0
1103-0001-1509,2021-03-01,8645.0
1103-0001-1801,2021-03-01,15070.0
1103-0001-1802,2021-03-01,7598.0
1103-0001-1809,2021-03-01,2474.0
1103-0001-1821,2021-03-01,4591.0
