PN,ProductGroup,WorkCenter,Predecessors,RawMaterial,OperationRoute,OperationRouteID,ProcessingTimes,SetupTimes,BatchInfo,ScrapRate
6022-1700-2500,,SA,"[['6022-1700-3201', 1.0], ['6022-1700-3301', 1.0], ['6022-1700-3401', 1.0], ['6022-1700-3500', 1.0]]",-,SA,21,[72.797],0,3-7.25-14.5,0
6022-1700-2501,,SA,"[['6022-1700-3202', 1.0], ['6022-1700-3301', 1.0], ['6022-1700-3401', 1.0], ['6022-1700-3500', 1.0]]",-,SA,21,[72.797],0,3-7.25-14.5,0
6022-1700-2502,,SA,"[['6022-1700-3203', 1.0], ['6022-1700-3301', 1.0], ['6022-1700-3402', 1.0], ['6022-1700-3500', 1.0]]",-,SA,21,[72.797],0,3-7.25-14.5,0
6022-1700-2503,,SA,"[['6022-1700-3204', 1.0], ['6022-1700-3302', 1.0], ['6022-1700-3404', 1.0]]",-,SA,21,[72.797],0,3-7.25-14.5,0
6022-1700-2504,,SA,"[['6022-1800-3200', 1.0], ['6022-1800-3300', 1.0], ['6022-1800-3400', 1.0]]",-,SA,21,[72.797],0,3-7.25-14.5,0
6022-1700-2505,,SA,"[['6022-1800-3200', 1.0], ['6022-1800-3300', 1.0], ['6022-1800-3400', 1.0]]",-,SA,21,[72.797],0,3-7.25-14.5,0
6022-1700-2506,,SA,"[['6022-1800-3200', 1.0], ['6022-1800-3301', 1.0], ['6022-1800-3400', 1.0]]",-,SA,21,[72.797],0,3-7.25-14.5,0
6022-1700-3200,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.0, 3.75, 1.881, 0.6666666666666666]","[10, 26.333, 10, 10, 10]",5-10.666666666666666-21.333333333333332,0.045454545
6022-1700-3300,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 1.25, 3.75, 2.339, 1.1333333333333333]","[10, 30.25, 10, 10, 10]",6-13.75-27.5,0.026666667
6022-1700-3400,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[0.617, 1.667, 3.75, 1.858, 0.6666666666666666]","[10, 166.283, 10, 10, 10]",7-15.0-30.0,0.023809524
