JobID,OrderID,OrderDeadline,Selected Machine,WorkCenter,Alternative Machines,StartTime,CompTime,ProcessingTime,LatestStartTime,LatestCompTime,JobDeadline,Tardiness,StartTask,EndTask,StartJob,FinalJob
128,92,5,SA_6,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,1440,2040,600,840.0,10320,6600.0,0,1,1,False,False
127,92,5,SA_8,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,3600,3720,120,1920.0,10920,6720.0,0,1,1,False,True
131,49,5,SA_14,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,3600,4800,720,0.0,10320,6720.0,0,1,1,True,True
168,87,5,CLEAN_3,CLEAN,CLEAN_1- CLEAN_2- CLEAN_3,0,120,120,0.0,9120,4920.0,0,1,1,True,False
134,87,5,SA_16,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,240,840,600,120.0,9240,6000.0,0,1,1,False,False
133,87,5,SA_16,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,840,1920,600,720.0,10320,6600.0,0,1,1,False,False
135,87,5,SA_24,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,600,1680,600,0.0,10320,6600.0,0,1,1,True,False
132,87,5,SA_20,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,6360,6480,120,1800.0,10920,6720.0,0,1,1,False,True
136,68,5,SA_26,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,3000,3720,720,0.0,10320,6720.0,0,1,1,True,True
137,70,5,SA_8,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,4440,4800,360,600.0,10680,6720.0,0,1,1,False,True
138,70,5,SA_10,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,1680,1920,240,360.0,10440,6360.0,0,1,1,False,False
139,70,5,SA_10,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,840,1680,360,0.0,10080,6120.0,0,1,1,True,False
140,70,5,SA_10,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,360,720,360,0.0,10080,6120.0,0,1,1,False,False
173,70,5,Phantom_5,Phantom,Phantom_1- Phantom_2- Phantom_3- Phantom_4- Phantom_5,0,0,0,0.0,10440,6120.0,0,1,1,True,False
174,70,5,Phantom_5,Phantom,Phantom_1- Phantom_2- Phantom_3- Phantom_4- Phantom_5,0,0,0,0.0,10080,5880.0,0,1,1,True,False
142,117,5,SA_26,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,240,720,480,0.0,10440,6600.0,0,1,1,True,False
141,117,5,SA_28,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,3120,3240,120,480.0,10920,6720.0,0,1,1,False,True
145,93,5,SA_20,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,360,360,0.0,10200,6240.0,0,1,1,True,False
146,93,5,SA_24,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,240,600,360,0.0,10560,6600.0,0,1,1,True,False
144,93,5,SA_28,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,600,1440,360,360.0,10560,6600.0,0,1,1,False,False
143,93,5,SA_4,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,1920,2040,120,720.0,10920,6720.0,0,1,1,False,True
69,96,5,LaserMarking_1,PRD,LaserMarking_1- LaserMarking_2,720,1440,120,0.0,10080,5880.0,0,1,0,True,False
68,96,5,SMD_1,PRD,SMD_1- SMD_2- SMD_3,1680,1800,120,120.0,10200,6000.0,0,0,0,False,False
67,96,5,CA_1,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1800,1920,120,240.0,10320,6120.0,0,0,0,False,False
